workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Pin,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,PinId,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the pin you just observed.",What is your overall impression of the pin?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,"After observing the pin, what is your overall impression of the item shown in the image above?",How much do you think the pin creator favors the item shown in the image above?,How likely do you think there is a relationship between the pin creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the pin you observed states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
639,7,7,2,5,Yes,No,Yes,No,Yes,No,Less Often,Never,Never,Every Few Weeks,A Few Times A Week,Never,Less Often,Never,Never,Less Often,Less Often,Never,50,57,804314814672700115,8,65,A shark as a dog bed,Neutral,Its cute for kids but not something Id buy my dog,42,108,Somewhat Positive,Moderately Favors,Neutral,I don't know what the relation is to the person pinning it and the organization. They probably just liked it,61,188,supply chain store?,33,221,29,250,1976,Female,Associate's Degree,"Less than $25,000",19,269
640,8,8,4,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,Every Few Weeks,About Once A Day,About Once A Day,Every Few Weeks,A Few Times A Week,Every Few Weeks,Every Few Weeks,53,61,804314814672700115,16,77,It was a small shark style doggy bed,Somewhat Positive,It is pretty cute and unique and attention getting,50,127,Somewhat Positive,Somewhat Favors,Extremely Likely,the description explained clearly that there was a relationship between the pinterester and the manufacturer.,145,300,It means the person putting up the pin has a profit based relationship with the affiliate and is motivated to post by that a great deal,109,409,30,439,1975,Female,Bachelor's Degree,"$50,000 to $74,999",23,462
641,3,3,4,3,Yes,No,Yes,No,Yes,No,Several Times A Day,Less Often,Less Often,A Few Times A Week,Several Times A Day,Never,Every Few Weeks,Never,Never,Never,A Few Times A Week,Never,42,45,414823815668000016,21,66,"Looks like it is a ""Do It Yourself"" post of some baby shoes. The laces are like a ribbon.",Extremely Positive,Pinterest always has the most creative people!,40,106,Neutral,Slightly Favors,Somewhat Likely,"It is a win-win situation for both parties. One bundles the shoes to sell, another buys to re purpose them for their own profit",44,181,Probably partnership!,18,199,14,213,1991,Male,Bachelor's Degree,"$25,000 to $34,999",12,225
642,12,12,3,3,Yes,No,Yes,No,Yes,Yes,About Once A Day,Never,Never,A Few Times A Week,A Few Times A Week,Several Times A Day,Less Often,Never,Never,Never,Never,About Once A Day,170,182,414823815668000016,12,194,IT WAS OF BEDAZZLED GIRL BABY SHOES,Somewhat Positive,I THOUGHT IT WAS CUTE BUT ALSO A BIT OVERDONE.,74,268,Neutral,Slightly Favors,Extremely Unlikely,I THINK THAT THE PERSON WHO POSTED THE PIN IS JUST SOMEONE WHO DOES IT FOR HOBBY AND IS NOT CONNECTED WITH A BRAND.,54,349,I WOULD ASSUME IT MEANS AFFILIATE LINK,21,370,28,398,1982,Female,Bachelor's Degree,"$25,000 to $34,999",15,413
643,32,32,4,1,No,No,Yes,Yes,Yes,Yes,Several Times A Day,Every Few Weeks,A Few Times A Week,Less Often,Several Times A Day,About Once A Day,Less Often,Never,Never,Never,Never,Less Often,62,94,697283954778000593,10,104,A soap holder made out of metal.,Somewhat Positive,This was a creative idea and looked easy to make.,43,147,Neutral,Strongly Favors,Extremely Likely,The creator is a salesperson for the organization.,44,202,The person has a financial interest in selling this product,39,241,25,266,1982,Male,"Professional Degree (e.g., MBA, J.D.)","$75,000 to $99,999",16,282
644,10,10,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Less Often,About Once A Day,A Few Times A Week,A Few Times A Week,About Once A Day,A Few Times A Week,Every Few Weeks,A Few Times A Week,Every Few Weeks,Less Often,A Few Times A Week,A Few Times A Week,99,109,697283954778000593,19,128,It was bathroom decor. Functional decor at that. It was a pretty cool product.,Extremely Positive,I enjoyed the aesthetics of the photo.,65,193,Somewhat Positive,Moderately Favors,Neutral,I just feel like relationships can only occur with living things.,57,266,It means a link to something else,24,290,23,313,1990,Female,Prefer not to answer,Prefer not to answer,22,335
645,21,21,4,2,No,No,Yes,No,Yes,No,Several Times A Day,Never,Never,Every Few Weeks,A Few Times A Week,Never,A Few Times A Week,Never,Never,Less Often,Every Few Weeks,Never,56,77,781374604069700266,38,115,it was an ad for wild bird seed called Woodpecker Treat Suet Plugs and it is food for wild birds only. Very colorful and attention getting with the yellow bird head.,Extremely Positive,I think it is very positive because the ad is interesting and gets your attention which is what ads are supposed to do.,112,227,Extremely Positive,Strongly Favors,Extremely Likely,Well it's obvious that the poster is an affiliate marketer of at least the above mentioned bird feed and is advertising on Pinterest which is fine with me.,80,330,Like I said earlier it is obvious that the poster is an affiliate marketer advertising the bird seed on Pinterest which I don't have a problem with and they didn't try to disquise the ad or their affiliation with the product.,82,412,30,442,1954,Male,Some College,"$25,000 to $34,999",14,456
646,11,11,5,3,Yes,No,Yes,No,Yes,No,Less Often,Never,Never,About Once A Day,Several Times A Day,Never,Less Often,Never,Never,Several Times A Day,Never,Never,72,83,414823815668000016,13,96,The pin was a picture of baby shoes. They are pink and sparkly.,Neutral,I don't have children.,38,134,Somewhat Positive,Strongly Favors,Somewhat Unlikely,This lady doesn't sell shoes.,32,193,"Oh, I didn't read that. It means she makes money off the shoes that are sold in the link.",31,224,29,253,1992,Female,High School Graduate,"Less than $25,000",15,268
647,17,17,1,2,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,Several Times A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,Never,Less Often,A Few Times A Week,Never,Less Often,Never,Never,60,77,781374604069700266,18,95,"It looks like an ad/product for woodpecker treats, or some type of food for wild birds. There's a red bird on one side and log things on the right.",Somewhat Negative,I though it was an ad/product about ear plugs at first.,210,305,Neutral,Strongly Favors,Somewhat Likely,"It's a weird thing to pin, so the pin creator would either have something to gain from pinning the image, or they really like the product.",129,459,,,,37,496,1984,Female,Bachelor's Degree,"$75,000 to $99,999",30,526
648,4,4,4,2,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,A Few Times A Week,Several Times A Day,About Once A Day,About Once A Day,About Once A Day,Several Times A Day,Every Few Weeks,About Once A Day,About Once A Day,44,48,781374604069700266,5,53,"It was a cartoony sort of pin, with a rooster peeking out of a house.",Somewhat Negative,I didn't like the design of the image.,28,81,Somewhat Negative,Moderately Favors,Extremely Unlikely,"It is an affiliate think so there is a slim chance that the pin creator and organization are connected in some way. Just about anyone can send an affiliate link to Amazon for just about any product, as long as they have an affiliate account.",89,176,This means that the pin creator is monetizing the post in order to make some money.,18,194,11,205,1988,Male,Some College,"$150,000 or more",10,215
649,8,8,4,5,No,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,Several Times A Day,About Once A Day,Never,Several Times A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,About Once A Day,Never,A Few Times A Week,A Few Times A Week,97,105,804314814672700115,14,119,It is about a stuffed shark probably for sale.,Somewhat Positive,because the stuffed animal had a tag on it.,68,187,Extremely Positive,Strongly Favors,Somewhat Likely,I believe that the pin creator really care for animals and works hard to provide for them.,73,278,It means to me that the pin creator needs to make some money for what he is doing because he spend time and effort to provide for the animal shelter.,114,392,46,438,1981,Female,Bachelor's Degree,"$50,000 to $74,999",24,462
650,26,26,4,3,Yes,Yes,Yes,Yes,Yes,No,A Few Times A Week,Less Often,Every Few Weeks,Several Times A Day,About Once A Day,Never,Never,Never,Never,Every Few Weeks,Never,Never,79,105,414823815668000016,15,120,"A pair of baby shoes, possibly converse, decorated with sequins and ribbons.",Somewhat Positive,I think the shoes are creative and cute. ,87,207,Neutral,Moderately Favors,Somewhat Unlikely,"Even though the pin creator states that the project can be done on any pair of cheap shoes, I see no reason why there would be a relationship with the organization selling these shoes. ",185,431,This means that the person will get some sort of monetary payment if you click and/or buy the product. ,60,491,41,532,1973,Female,Some College,"$75,000 to $99,999",30,562
651,34,34,4,2,Not Sure,No,Yes,No,Yes,No,A Few Times A Week,Never,Never,Less Often,A Few Times A Week,Never,Less Often,Never,Never,Never,Never,Never,78,112,781374604069700266,54,166,"Bird suet high energy food.  Vintage looking advertisement, interesting",Somewhat Positive,"Interesting vintage look, almost woody woodpecker look.  Would look at home in any backyard",114,280,Neutral,Somewhat Favors,Somewhat Likely,Overall feel to the comments,95,405,That person will get money for any sales of product from the food when you click on the link,83,488,34,522,1963,Female,Bachelor's Degree,"$75,000 to $99,999",25,547
652,4,4,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,28,32,781374604069700266,13,45,The pin was about a bird food or treat. The product itself.,Somewhat Positive,There is nothing wrong with it.,52,97,Somewhat Positive,Strongly Favors,Somewhat Likely,I really don't think that there is something wrong with this pin.,54,162,,,,17,179,1983,Female,Bachelor's Degree,"$35,000 to $49,999",14,193
653,37,37,2,1,No,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,Every Few Weeks,Several Times A Day,Several Times A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,46,83,697283954778000593,23,106,It looked like a bar of soap. Not the type of soap I would use. ,Extremely Positive,At least the person is somewhat clean ,103,209,Neutral,Moderately Favors,Somewhat Likely,It looks nice,23,235,It's a different link ,16,251,10,261,1989,Male,Associate's Degree,"$50,000 to $74,999",23,284
654,32,32,1,2,Yes,No,Not Sure,Yes,Yes,Yes,Never,About Once A Day,A Few Times A Week,Less Often,A Few Times A Week,Less Often,Never,Never,Less Often,Never,Never,Never,66,98,781374604069700266,23,121,"I saw a picture of Wild Bird Suet ""plugs"" meant for placing outside to feed local avians. There was a cartoon woodpecker in the picture as well.",Neutral,"I don't feel one way or the other about wild birds, woodpeckers, or suet products.",137,258,Somewhat Negative,Strongly Favors,Neutral,"I have no idea whether Dixie Esparza has any relationship to C and S Products, financial or otherwise.",69,344,,,,22,366,1974,Female,Bachelor's Degree,"Less than $25,000",15,381
655,19,19,3,3,Yes,Yes,Yes,No,No,Yes,Several Times A Day,Several Times A Day,Never,A Few Times A Week,Every Few Weeks,Several Times A Day,A Few Times A Week,Every Few Weeks,Never,A Few Times A Week,Never,About Once A Day,61,80,414823815668000016,6,86,The pin was for some pink bedazzled baby shoes. The description said it was a DIY. ,Neutral,"I don't have any children, so I feel this pin doesn't really apply to me. ",50,136,Extremely Negative,Does Not Favor At All,Extremely Unlikely,"These shoes barely resemble the pin. Also it claimed that the shoes shown were DIY, yet these are simply sold from Amazon, and they are much plainer that the ones on the pin. ",81,220,I'm really not sure what this means. ,24,244,16,260,1994,Female,Bachelor's Degree,"$35,000 to $49,999",21,281
656,6,6,5,3,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,About Once A Day,Several Times A Day,Several Times A Day,Several Times A Day,About Once A Day,About Once A Day,About Once A Day,Never,About Once A Day,32,38,414823815668000016,6,44,I observed baby shoes that were pink with rhinestones on them. ,Extremely Positive,I think it is a very pretty picture that many people with children will be interested in. ,82,126,Extremely Positive,Strongly Favors,Extremely Likely,The person said they are affiliated with the company and are  receiving commission for the sales.,82,240,They are promoting the shoes and linking people to a site where you can purchase them. When a pair of shoes is purchased using that affiliate link the person will make commission off of the sale. ,82,322,19,341,1986,Female,Some College,"$25,000 to $34,999",17,358
657,5,5,4,5,No,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,Every Few Weeks,A Few Times A Week,A Few Times A Week,33,38,804314814672700115,3,41,It was a stuffed animal. The animal was a grey shark. ,Somewhat Positive,I found it positive because it was a fun kids toy.,30,71,Somewhat Positive,Somewhat Favors,Extremely Likely,The pin creator mentioned they are affiliated with the organization. ,39,115,They get a percentage of sales when you click the link.,19,134,5,139,1989,Male,Bachelor's Degree,"$50,000 to $74,999",14,153
658,45,45,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Every Few Weeks,Less Often,Several Times A Day,Several Times A Day,A Few Times A Week,Every Few Weeks,Never,Less Often,Never,A Few Times A Week,133,178,414823815668000016,43,221,Little pink baby shoes. They had some glitter on them.,Neutral,they were pink and too small for an adult.,62,283,Neutral,Moderately Favors,Extremely Unlikely,"It doesn't seem like the company had reach out to the person on pinterest. Also, the person never said it was a paid sponsorship.",123,523,Affiliation link?,25,548,26,574,1996,Female,Some College,"Less than $25,000",69,643
659,11,11,1,4,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,About Once A Day,About Once A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,About Once A Day,69,80,1548181098801468,40,120,"BEDROOM CLOSETS, RUSTIC LINEN BLANKET",Somewhat Negative,your overall impression of the pin is somewhat negative,227,347,Somewhat Positive,Somewhat Favors,Somewhat Likely,good product and good pin,91,458,,,,21,479,1942,Female,Bachelor's Degree,"$35,000 to $49,999",23,502
660,46,46,5,5,No,No,Yes,Yes,Yes,No,A Few Times A Week,Less Often,A Few Times A Week,Less Often,About Once A Day,Less Often,Every Few Weeks,Never,Every Few Weeks,Never,Every Few Weeks,Never,55,101,804314814672700115,20,121,It has a large silver shark icon with it's mouth open exposing its teeth.  There is a label attached to its fin.  A note appears below that says dog care and dog bed.  A save button is in the upper left. ,Somewhat Positive,It's kind of cool with the shark.  It grabs one's attention. ,145,266,Somewhat Positive,Strongly Favors,Somewhat Likely,The large shark picture correlates with the item for sale very well.  The description fits the icon very well. ,101,403,There is a close business relationship between the Pin creator and they receive money from sales. ,58,461,28,489,1960,Male,Master's Degree,"$125,000 to $149,999",23,512
