workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Video,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,VideoId,player_actions,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the video you just watched.",What is your overall impression of the video?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,Time_spent_page_description,Time_spent_survey_description,"After watching the video, what is your overall impression of the item shown in the image above?",How much do you think the video creator favors the item shown in the image above?,How likely do you think there is a relationship between the video creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the video you watched states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
863,11,11,3,5,No,Yes,Yes,No,Yes,Yes,Several Times A Day,Several Times A Day,Never,Never,Several Times A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,Never,Never,A Few Times A Week,About Once A Day,46,57,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.004000186920166016;0|220.721;,229,286,The video was a review of the portable Crosley record player. The director was showing the details and talking about the functionality of the record player.,Somewhat Positive,Record players are a nice antique items to have. With that being said very few people make records and use them now-a-days. So to market a record player would only see business in a small group of people.,154,440,18,458,Somewhat Positive,Slightly Favors,Somewhat Likely,"The person filming the video may be into the record scene and therefor, likes to play and own records.",73,531,This link is meant to provide the watcher of the video with a link to the amazon page where they can purchase the Crosley record player.,47,578,25,604,1990,Male,Bachelor's Degree,"$35,000 to $49,999",17,621
864,5,5,2,5,No,No,Yes,Yes,Yes,No,Several Times A Day,Never,Several Times A Day,Never,Several Times A Day,Never,Less Often,Never,Never,Never,Less Often,Never,36,41,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.016000032424926758;0|220.721;,232,273,A brief review of a record player. The reviewer talks about the pros and cons of this unique record player that looks like a briefcase. ,Somewhat Positive,"I felt while the review gives us a good idea of what to expect from this record player, I felt the reviewer needed to work on his public speaking skills. (i.e. too much umm, uh, etc.).",187,460,8,468,Neutral,Strongly Favors,Extremely Unlikely,"The reviewer talked about how he basically bought this purchase on an impulse, as he did not look at any reviews beforehand. In addition, while the reviewer did see notable flaws about this record player, regardless, he enjoyed the product for what it is.",76,544,What affiliate links mean is that the individual will get a cut of money from purchasing the linked product. Basically a referral.,66,610,32,642,1989,Male,Bachelor's Degree,"$35,000 to $49,999",12,654
865,6,6,3,1,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,Every Few Weeks,Less Often,Every Few Weeks,Every Few Weeks,Never,Less Often,Every Few Weeks,Never,Never,Never,Never,78,84,DQktwMexxE0,Start|0;-1|0;3|0;1|0.0019998550415039062;,173,257,It was a cat's reaction to a Ferbie,Somewhat Negative,Nothing really happened so it was pretty boring.,49,306,15,321,Neutral,Somewhat Favors,Neutral,"I am not sure how ads work on YouTube, it could just be an algorithm the youtuber is not directly working with, but rather cat items get shown to videos with tags related to cats. ",99,420,links related to the topic somehow,23,443,27,470,1989,Female,Some College,"$125,000 to $149,999",18,488
866,46,46,3,5,No,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,About Once A Day,Less Often,Several Times A Day,About Once A Day,A Few Times A Week,A Few Times A Week,About Once A Day,Never,Never,About Once A Day,55,101,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0410001277923584;0|220.721;,241,342,"The video was of a man reviewing a Crosley vinyl record player. He explained some of the features behind the product, such as the availability of different colors, the fact that it closes up like a suitcase and also that it requires to be plugged into power to work, it has no battery power.",Somewhat Positive,"I felt that the video was informative, the audio and video quality were good. The reviewer clearly presented the features and explained the pros and cons of the product.",268,610,12,622,Somewhat Positive,Strongly Favors,Somewhat Likely,"I believe that the video creator was using an affiliate link, so if anyone purchases the product, he will get a percentage of the sale price given to him.",106,729,"Affiliate links are links that people use to link to products, and if someone uses that link and purchases an item, they will receive money or something else as a reward for getting people to buy the product.",58,787,34,821,1989,Male,High School Graduate,"$35,000 to $49,999",20,841
867,5,5,5,1,Yes,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,A Few Times A Week,A Few Times A Week,Every Few Weeks,Several Times A Day,A Few Times A Week,Less Often,Every Few Weeks,Every Few Weeks,Never,Less Often,Every Few Weeks,42,47,DQktwMexxE0,Start|0;-1|0;3|0;1|0.002355;0|217.081;,262,309,Cat playing with some toys,Somewhat Positive,funny and cute,20,329,141,470,Neutral,Slightly Favors,Somewhat Likely,these two things are closely related,33,503,Mean someone paid the youtuber to publish this video,32,535,12,547,1991,Female,Master's Degree,"$75,000 to $99,999",15,562
868,12,12,4,4,No,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,Several Times A Day,Several Times A Day,Never,Several Times A Day,Several Times A Day,Less Often,Every Few Weeks,Every Few Weeks,Never,Less Often,A Few Times A Week,35,47,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.023000001907348633;,202,249,"The video showed a lot of scenery shots of the countryside and other things, both through a dashcam and through drone type video. ",Neutral,"I thought it was okay, but it was kind of just there. There was no real reason to watch the video. ",37,286,11,297,Somewhat Negative,Moderately Favors,Somewhat Likely,They're clearly getting some sort of payment to advertise this item and to use it when making their video. ,24,321,It means that they earn referral money for anyone that goes and purchases the item through the link that they posted. ,20,341,13,354,1987,Male,Some College,"$25,000 to $34,999",13,367
869,4,4,7,3,Yes,Yes,Yes,Yes,Yes,Yes,Less Often,Never,About Once A Day,Less Often,About Once A Day,Every Few Weeks,Never,Never,Never,Never,Never,Never,35,39,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.004000186920166016;0|213.159182;,219,258,pretty joyful ride of slides of a hotel resort,Extremely Positive,it's quite relaxing watching this video,27,285,15,300,Extremely Positive,Moderately Favors,Somewhat Likely,"it has nice table and chairs and environment, good stuff",31,331,it means that they generate click through traffic revenue,21,352,5,357,1993,Male,Some College,"$35,000 to $49,999",9,366
870,20,20,2,3,No,No,Yes,Yes,Yes,No,Several Times A Day,Never,Several Times A Day,Never,Several Times A Day,Never,Less Often,Never,Less Often,Never,Less Often,Never,44,64,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.08000016212463379;0|213.145191;,232,296,It was a video advertising a hotel. It included a Christmas soundtrack along with dozens of photos of the hotel's room and location.,Extremely Negative,"The video was overly long, annoying, and painful to watch. The hotel could have been advertised in a much shorter and effective time. In this case, it seems as if an unpaid intern had far too much time with Microsoft Paint and Windows Movie Maker.",130,426,32,458,Neutral,Moderately Favors,Neutral,"While I hated the video, the actual hotel and its location seem rather pleasant. Many people are poor marketers, so I have no idea if the video creator and the organization, which seems relatively professional, are related.",74,532,"That they display link(s) in the video to websites with which they are affiliated, and by which they may gain some money.",45,577,30,607,1990,Male,Some College,"Less than $25,000",30,637
871,13,13,4,2,No,No,Yes,Yes,Yes,No,Several Times A Day,Never,Never,Never,About Once A Day,Never,A Few Times A Week,Never,Never,Never,Never,Never,43,56,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.011387969482421875;3|4.28;1|5.003719188269083;2|4.9877191558441565;3|0;1|0.004999876022338867;0|204.901;,243,299,There was a lady doing a review and demonstration of eyeshadow. She bought a palette online for like $13-14 and showed how she used all the colors to create her style. It was like a review and tutorial mixed.,Somewhat Positive,The lady was nice and pleasant. If one is interested in techniques of applying eyeshadow or product reviews they would find it helpful.,113,412,37,449,Somewhat Positive,Moderately Favors,Somewhat Likely,In one of the links it said she would receive a small commission so there is obviously a deal with the company to promote them.,76,525,"She promotes the company and if you click a link that has her as the referral, she will get a commission for it.",37,562,36,598,1989,Female,Some College,"Less than $25,000",15,613
872,3,3,1,2,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,About Once A Day,About Once A Day,Several Times A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,26,30,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.0009999275207519531;0|204.901;,510,540,Basically was a make up review and tutorial. ,Somewhat Positive,The person spoke highly of the make up,17,557,11,568,Somewhat Positive,Strongly Favors,Somewhat Likely,She is probably doing it for a kickback. ,25,593,,,,17,610,1985,Male,High School Graduate,"$50,000 to $74,999",7,617
873,18,18,1,4,No,No,Yes,No,No,No,Every Few Weeks,Never,Never,Never,Less Often,Never,Less Often,Never,Never,Never,Never,Never,67,85,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.002000093460083008;,199,284,It was a quick overview of Iceland using some drone footage and video views from a car as it wandered across the country.,Somewhat Positive,"I love to see films of places that I have never been. I thought Iceland was beautiful, desolate and wild, but still beautiful.",143,427,18,445,Somewhat Positive,Moderately Favors,Extremely Likely,The videographer very possibly got free use of the drone in an effort to promote both their videos and the drone's manufacturer. ,147,592,,,,33,625,1945,Male,Associate's Degree,"$50,000 to $74,999",20,645
874,5,5,7,1,No,No,Yes,No,Yes,Yes,Several Times A Day,Never,Never,Never,Several Times A Day,Several Times A Day,Less Often,Never,Never,Never,Every Few Weeks,A Few Times A Week,35,40,DQktwMexxE0,Start|0;-1|0;3|0;1|0;0|217.081;,223,263,A cat that was being focused on a furby toy. It just kept trying to get closer and closer to it.,Somewhat Positive,"Even thought the noise of the toy was a little annoying, I do like cats.",118,381,18,399,Neutral,Somewhat Favors,Somewhat Likely,There is not other real reason why they would have a link to that cat food. No where in the video was it talking about cat food.,47,446,"When people shop at those links, the person who made the video probably gets a portion of the money. Either that, or it is also their business and they get the a good profit for people who shop from there.",52,498,17,515,1995,Male,Some College,"Less than $25,000",10,525
875,7,7,5,4,No,No,Yes,No,Yes,No,Less Often,Never,Never,Never,Every Few Weeks,Never,Less Often,Never,Never,Never,Never,Never,32,39,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.01399993896484375;,188,227,"With the film sped up, the video showed various nature scenes and a series of driving on roads and over bridges.",Extremely Negative,"It made me feel nauseated because it was moving so fast.  Plus, there was no point.  The music that went with it was not a good choice.",79,306,17,323,Extremely Negative,Strongly Favors,Somewhat Likely,The over usage of the drone in the video shows the creators fondness for technology and the drone in question.,56,379,"By clicking on the links, the creator of the video will receive a small sum of money each time this happens.",48,427,23,450,1966,Male,High School Graduate,"$35,000 to $49,999",15,465
876,13,13,3,1,No,No,No,No,Yes,No,Never,Never,Never,Never,A Few Times A Week,Never,Never,Never,Never,Never,Less Often,Never,36,49,DQktwMexxE0,Start|0;-1|0;3|0;1|0;0|217.081;,235,284,A cat is both surprised and curious about a toy that keeps talking. He tried to reach it when it's out of reach.,Neutral,I don't care about those type of videos. People should do it for themselves. I don't care about watching their lives or the lives of their pets.,82,366,42,408,Extremely Negative,Slightly Favors,Somewhat Likely,I know nothing about how people make money with youtube or encourage advertising. It's possible they are linked. It's possible they are paid for it. It might be they just like the brand. I never read that information in real life if it's available.,84,492,That the person is providing links that encourage people to click them. I have no clue really as I don't read them usually and don't care. It could be that they are paid to provide the link.,65,557,22,579,1969,Female,Bachelor's Degree,"Less than $25,000",15,594
877,30,30,1,5,No,Yes,Yes,Yes,Yes,No,Several Times A Day,A Few Times A Week,Several Times A Day,Never,About Once A Day,Never,A Few Times A Week,Less Often,A Few Times A Week,Never,Never,Never,47,77,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0019998550415039062;,231,308,"This guy was doing his review of a portable turntable for playing records.   He talked about the things he liked about it, the flaws he noticed and what could have been better, and about the different options and how it worked.",Somewhat Negative,"The camera was bouncy and out of focus most of the time.  It makes everything seem super cheap and low budget.  It woukd have been a lot easier yo take him seriously had he mounted the camera on a tripod, got in the shot and explained everything that way.",144,452,20,472,Somewhat Negative,Strongly Favors,Somewhat Likely,"I dont know why anyone would feel the need to make a video rsndomly endorsing some random product.  There had to have been something motivating him, especially since he put links to sell it.",89,562,,,,16,578,1986,Male,Bachelor's Degree,"$50,000 to $74,999",19,597
878,16,16,4,3,No,Yes,Yes,Yes,No,No,About Once A Day,About Once A Day,About Once A Day,Less Often,A Few Times A Week,Less Often,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,Never,Never,117,133,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.04400014877319336;0|213.159182;,225,358,"While a female was singing a Christmas song, there were a lot of still images of hotel rooms. There were also external images of some very nice places to stay. It was on a channel called hotelz. ",Somewhat Positive,The images were pleasant and made me want to take a trip. They were giving me ideas of places to stay and where to go.,228,586,64,650,Somewhat Positive,Slightly Favors,Extremely Likely,It was a commercial to come stay with us. Someone paid to have it made.,100,750,"It means I am promoting these. In other words, they pay me to put these up. ",49,799,35,834,1956,Male,Bachelor's Degree,"$35,000 to $49,999",21,855
879,9,9,6,1,Yes,No,Yes,No,Yes,No,About Once A Day,Never,Never,About Once A Day,A Few Times A Week,Never,Less Often,Never,Never,Every Few Weeks,Never,Never,37,46,DQktwMexxE0,Start|0;-1|0;3|0;1|0.01675509346008301;2|35.147721;1|35.245557990463254;0|217.081;1|119.08396100844345;2|119.07696103896103;3|119.07696103896103;1|119.09726396948243;,233,279,A cat reacts to a Furbie doll making noises. It also reacts when the owner puts it away. ,Neutral,"I am not a fan of cats, so cat videos do not interest me at all. ",50,329,67,396,Neutral,Moderately Favors,Somewhat Likely,Why else would they promote it if there was not some link?,54,450,It means that he is getting a kickback from people who sell it.,21,471,23,494,1989,Female,Bachelor's Degree,"$35,000 to $49,999",27,521
